Player,Strike Rate,Average Score,Batsman Match Count,Batsman Run,Six,Four,Out,One,Two,Three,Five,Fifty,Hundred,Wicket,Bowler Run,Economy Rate,Maiden,Bowler Match Count,Average Four,Average Six,Total Matches,Wicket Average,avg_score_utility,strike_rate_utility,sixes_utility,fours_score_utility,wickets_utility,total_wickets_utility,economy_utility,batting_utility,player_type,bowler_utility
JA Morkel,136.93820224719101,14.552238805970148,67.0,975.0,55.0,61.0,40.0,288.0,55.0,1.0,0.0,3.0,0.0,85.0,2409.0,7.998893193137798,0.0,87.0,0.9104477611940298,0.8208955223880597,87.0,0.9770114942528736,2.7070895522388057,2.846910112359551,0.0,0.0,0.9770114942528736,1.6451612903225807,3.150232429441062,5.553999664598356,Bowler,8.658607821024775
A Symonds,124.71190781049937,27.055555555555557,36.0,974.0,41.0,74.0,27.0,288.0,66.0,4.0,0.0,5.0,1.0,20.0,694.0,7.711111111111111,0.0,30.0,2.055555555555556,1.1388888888888888,36.0,0.5555555555555556,7.395833333333334,2.2355953905249684,0.06944444444444442,0.3518518518518519,0.5555555555555556,0.38709677419354843,3.210666666666666,10.052725020154599,AllRounder,6.229978494623655
CL White,125.45219638242895,21.577777777777783,45.0,971.0,38.0,76.0,36.0,335.0,49.0,2.0,0.0,6.0,0.0,1.0,86.0,11.217391304347824,0.0,6.0,1.6888888888888889,0.8444444444444444,45.0,0.022222222222222227,5.341666666666669,2.2726098191214477,0.0,0.22962962962962963,0.022222222222222227,0.01935483870967742,2.4743478260869565,7.843906115417745,Batsman,3.773887330528284
MC Henriques,126.00780234070221,19.38,50.0,969.0,27.0,87.0,34.0,310.0,70.0,3.0,0.0,5.0,0.0,38.0,1255.0,8.202614379084967,0.0,55.0,1.74,0.54,55.0,0.6909090909090909,4.5175,2.3003901170351106,0.0,0.24666666666666667,0.6909090909090909,0.7354838709677419,3.107450980392157,7.064556783701778,AllRounder,6.800765913403485
M Vohra,127.6,23.34146341463415,41.0,957.0,35.0,95.0,39.0,219.0,58.0,9.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3170731707317067,0.8536585365853658,41.0,0.0,6.003048780487806,2.38,0.0,0.4390243902439022,0.0,0.0,0.0,8.822073170731707,Batsman,0.0
KM Jadhav,130.55555555555554,15.666666666666664,57.0,893.0,33.0,72.0,38.0,306.0,49.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.263157894736842,0.5789473684210527,57.0,0.0,3.124999999999999,2.5277777777777772,0.0,0.08771929824561402,0.0,0.0,0.0,5.740497076023391,Batsman,0.0
HH Gibbs,105.8542413381123,24.61111111111111,36.0,886.0,31.0,83.0,32.0,264.0,45.0,3.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.305555555555556,0.8611111111111112,36.0,0.0,6.479166666666667,1.2927120669056151,0.0,0.4351851851851853,0.0,0.0,0.0,8.207063918757468,Batsman,0.0
EJG Morgan,117.79310344827587,18.977777777777774,45.0,854.0,34.0,72.0,40.0,255.0,49.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.7555555555555555,45.0,0.0,4.366666666666665,1.8896551724137935,0.0,0.20000000000000004,0.0,0.0,0.0,6.456321839080459,Batsman,0.0
MA Agarwal,117.6300578034682,16.958333333333332,48.0,814.0,33.0,82.0,46.0,227.0,28.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7083333333333333,0.6875,48.0,0.0,3.6093749999999996,1.8815028901734103,0.0,0.23611111111111108,0.0,0.0,0.0,5.726989001284521,Batsman,0.0
SS Iyer,123.20610687022902,25.21875,32.0,807.0,32.0,79.0,29.0,228.0,34.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.46875,1.0,32.0,0.0,6.70703125,2.160305343511451,0.0,0.4895833333333333,0.0,0.0,0.0,9.356919926844785,Batsman,0.0
Harbhajan Singh,135.19458544839256,9.74390243902439,82.0,799.0,41.0,76.0,51.0,183.0,33.0,0.0,0.0,1.0,0.0,127.0,3453.0,6.9314151890264295,0.0,134.0,0.9268292682926829,0.5,134.0,0.9477611940298508,1.0,2.759729272419628,0.0,0.0,0.9477611940298508,2.458064516129032,3.374402810304449,3.759729272419628,Bowler,10.170342780694998
MS Bisla,108.27679782903661,20.46153846153846,39.0,798.0,23.0,93.0,38.0,207.0,36.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3846153846153846,0.5897435897435898,39.0,0.0,4.9230769230769225,1.4138398914518304,0.0,0.4615384615384615,0.0,0.0,0.0,6.798455276067214,Batsman,0.0
ST Jayasuriya,134.03141361256544,25.6,30.0,768.0,39.0,84.0,28.0,128.0,22.0,7.0,1.0,4.0,1.0,13.0,396.0,7.893687707641195,0.0,21.0,2.8,1.3,30.0,0.43333333333333335,6.8500000000000005,2.701570680628272,0.15000000000000002,0.6,0.43333333333333335,0.2516129032258065,3.1723255813953486,10.301570680628274,Batsman,5.7859077269317325
STR Binny,123.74798061389342,13.678571428571427,56.0,766.0,29.0,59.0,38.0,241.0,47.0,7.0,0.0,0.0,0.0,21.0,686.0,7.429602888086642,0.0,57.0,1.0535714285714286,0.5178571428571429,57.0,0.3684210526315789,2.379464285714285,2.187399030694671,0.0,0.017857142857142867,0.3684210526315789,0.40645161290322585,3.269783393501805,4.584720459266099,Bowler,6.066984088554914
GC Smith,106.9464544138929,25.48275862068965,29.0,739.0,9.0,94.0,26.0,228.0,39.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2413793103448274,0.3103448275862069,29.0,0.0,6.806034482758619,1.3473227206946448,0.0,0.7471264367816092,0.0,0.0,0.0,8.900483640234874,Batsman,0.0
