Player,Strike Rate,Average Score,Batsman Match Count,Batsman Run,Six,Four,Out,One,Two,Three,Five,Fifty,Hundred,Wicket,Bowler Run,Economy Rate,Maiden,Bowler Match Count,Average Four,Average Six,Total Matches,Wicket Average
A Nehra,65.07936507936508,2.411764705882353,17.0,41.0,1.0,3.0,7.0,21.0,1.0,0.0,0.0,0.0,0.0,106.0,2537.0,7.711246200607903,0.0,88.0,0.17647058823529413,0.058823529411764705,88.0,1.2045454545454546
LPC Silva,148.14814814814815,13.333333333333334,3.0,40.0,1.0,5.0,2.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,21.0,21.0,0.0,1.0,1.6666666666666667,0.3333333333333333,3.0,0.0
BR Dunk,111.11111111111111,13.333333333333334,3.0,40.0,0.0,7.0,3.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3333333333333335,0.0,3.0,0.0
MM Patel,95.1219512195122,3.25,12.0,39.0,0.0,5.0,6.0,17.0,1.0,0.0,0.0,0.0,0.0,74.0,1733.0,7.523878437047757,0.0,63.0,0.4166666666666667,0.0,63.0,1.1746031746031746
AUK Pathan,150.0,5.571428571428571,7.0,39.0,2.0,5.0,5.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,63.0,9.21951219512195,0.0,3.0,0.7142857142857143,0.2857142857142857,7.0,0.0
Umar Gul,205.26315789473685,9.75,4.0,39.0,5.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,12.0,198.0,7.764705882352942,0.0,6.0,0.25,1.25,6.0,2.0
DJ Thornely,72.22222222222221,9.75,4.0,39.0,2.0,2.0,3.0,19.0,0.0,0.0,0.0,0.0,0.0,3.0,40.0,5.454545454545454,0.0,4.0,0.5,0.5,4.0,0.75
JO Holder,118.75,7.6,5.0,38.0,2.0,4.0,5.0,6.0,2.0,0.0,0.0,0.0,0.0,5.0,313.0,8.236842105263158,0.0,11.0,0.8,0.4,11.0,0.45454545454545453
SP Jackson,122.58064516129032,12.666666666666666,3.0,38.0,0.0,5.0,2.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,0.0,3.0,0.0
S Narwal,127.58620689655173,9.25,4.0,37.0,0.0,6.0,3.0,9.0,2.0,0.0,0.0,0.0,0.0,5.0,203.0,10.778761061946902,0.0,6.0,1.5,0.0,6.0,0.8333333333333334
AN Ahmed,133.33333333333331,6.0,6.0,36.0,1.0,4.0,1.0,8.0,3.0,0.0,0.0,0.0,0.0,12.0,515.0,8.535911602209945,0.0,17.0,0.6666666666666666,0.16666666666666666,17.0,0.7058823529411765
KW Richardson,92.3076923076923,9.0,4.0,36.0,1.0,2.0,3.0,16.0,3.0,0.0,0.0,0.0,0.0,18.0,450.0,8.282208588957054,0.0,14.0,0.5,0.25,14.0,1.2857142857142858
L Balaji,72.0,2.769230769230769,13.0,36.0,1.0,2.0,8.0,15.0,2.0,1.0,0.0,0.0,0.0,76.0,2083.0,7.940279542566708,0.0,73.0,0.15384615384615385,0.07692307692307693,73.0,1.0410958904109588
Sohail Tanvir,116.12903225806453,7.2,5.0,36.0,1.0,3.0,3.0,14.0,2.0,0.0,0.0,0.0,0.0,22.0,275.0,6.226415094339623,0.0,11.0,0.6,0.2,11.0,2.0
Joginder Sharma,120.0,7.2,5.0,36.0,2.0,1.0,4.0,14.0,3.0,0.0,0.0,0.0,0.0,12.0,421.0,9.286764705882353,0.0,15.0,0.2,0.4,15.0,0.8
A Kumble,71.42857142857143,2.3333333333333335,15.0,35.0,0.0,3.0,3.0,21.0,1.0,0.0,0.0,0.0,0.0,45.0,1089.0,6.646998982706002,0.0,42.0,0.2,0.0,42.0,1.0714285714285714
R Tewatia,145.83333333333331,11.666666666666666,3.0,35.0,1.0,4.0,2.0,7.0,3.0,0.0,0.0,0.0,0.0,6.0,141.0,6.609375,0.0,7.0,1.3333333333333333,0.3333333333333333,7.0,0.8571428571428571
B Sumanth,92.10526315789474,8.75,4.0,35.0,0.0,3.0,1.0,17.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,4.0,0.0
AP Dole,147.82608695652172,17.0,2.0,34.0,1.0,3.0,2.0,8.0,4.0,0.0,0.0,0.0,0.0,5.0,114.0,9.36986301369863,0.0,3.0,1.5,0.5,3.0,1.6666666666666667
L Ronchi,91.8918918918919,6.8,5.0,34.0,1.0,6.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.2,5.0,0.0
A Mithun,130.76923076923077,5.666666666666667,6.0,34.0,1.0,4.0,5.0,8.0,2.0,0.0,0.0,0.0,0.0,7.0,477.0,9.173076923076923,0.0,16.0,0.6666666666666666,0.16666666666666666,16.0,0.4375
S Sreesanth,59.64912280701754,2.8333333333333335,12.0,34.0,0.0,6.0,4.0,6.0,2.0,0.0,0.0,0.0,0.0,40.0,1221.0,7.736008447729672,0.0,44.0,0.5,0.0,44.0,0.9090909090909091
D Salunkhe,137.5,11.0,3.0,33.0,0.0,5.0,2.0,9.0,2.0,0.0,0.0,0.0,0.0,1.0,80.0,9.411764705882353,0.0,5.0,1.6666666666666667,0.0,5.0,0.2
Anureet Singh,76.74418604651163,4.714285714285714,7.0,33.0,1.0,2.0,4.0,19.0,0.0,0.0,0.0,0.0,0.0,17.0,594.0,8.77832512315271,0.0,19.0,0.2857142857142857,0.14285714285714285,19.0,0.8947368421052632
RJ Peterson,100.0,6.4,5.0,32.0,1.0,3.0,3.0,12.0,1.0,0.0,0.0,0.0,0.0,3.0,70.0,8.75,0.0,4.0,0.6,0.2,5.0,0.6
T Taibu,119.23076923076923,10.333333333333334,3.0,31.0,0.0,3.0,3.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0
S Sriram,81.57894736842105,15.5,2.0,31.0,0.0,3.0,2.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,49.0,16.333333333333336,0.0,2.0,1.5,0.0,2.0,0.0
C Munro,96.7741935483871,10.0,3.0,30.0,0.0,3.0,3.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,15.0,7.5,0.0,2.0,1.0,0.0,3.0,0.0
VH Zol,111.53846153846155,14.5,2.0,29.0,1.0,3.0,2.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.5,2.0,0.0
J Syed Mohammad,107.40740740740742,5.8,5.0,29.0,0.0,4.0,2.0,11.0,1.0,0.0,0.0,0.0,0.0,8.0,286.0,8.755102040816325,0.0,11.0,0.8,0.0,11.0,0.7272727272727273
SB Jakati,93.33333333333333,5.6,5.0,28.0,0.0,3.0,1.0,14.0,1.0,0.0,0.0,0.0,0.0,47.0,1474.0,8.032697547683924,0.0,57.0,0.6,0.0,57.0,0.8245614035087719
Basil Thampi,93.33333333333333,5.6,5.0,28.0,1.0,1.0,0.0,12.0,3.0,0.0,0.0,0.0,0.0,11.0,428.0,9.237410071942445,0.0,12.0,0.2,0.2,12.0,0.9166666666666666
NL McCullum,113.04347826086956,13.0,2.0,26.0,1.0,0.0,1.0,9.0,4.0,1.0,0.0,0.0,0.0,0.0,35.0,7.0,0.0,2.0,0.0,0.5,2.0,0.0
JM Kemp,104.0,13.0,2.0,26.0,1.0,1.0,2.0,9.0,2.0,1.0,0.0,0.0,0.0,3.0,58.0,7.404255319148936,0.0,5.0,0.5,0.5,5.0,0.6
AB Dinda,52.0,1.625,16.0,26.0,0.0,2.0,10.0,16.0,1.0,0.0,0.0,0.0,0.0,69.0,2103.0,7.940843297671492,0.0,75.0,0.125,0.0,75.0,0.92
S Nadeem,36.61971830985916,1.625,16.0,26.0,0.0,1.0,12.0,16.0,3.0,0.0,0.0,0.0,0.0,37.0,1332.0,7.0290237467018475,0.0,53.0,0.0625,0.0,53.0,0.6981132075471698
Sandeep Sharma,72.22222222222221,2.3636363636363638,11.0,26.0,0.0,1.0,1.0,20.0,1.0,0.0,0.0,0.0,0.0,71.0,1623.0,7.649646504320503,0.0,56.0,0.09090909090909091,0.0,56.0,1.2678571428571428
JJ Bumrah,92.5925925925926,4.166666666666667,6.0,25.0,1.0,1.0,2.0,11.0,2.0,0.0,0.0,0.0,0.0,46.0,1433.0,7.931734317343174,0.0,47.0,0.16666666666666666,0.16666666666666666,47.0,0.9787234042553191
S Chanderpaul,75.75757575757575,8.333333333333334,3.0,25.0,0.0,4.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,3.0,0.0
A Choudhary,125.0,8.333333333333334,3.0,25.0,1.0,1.0,1.0,13.0,1.0,0.0,0.0,0.0,0.0,5.0,144.0,8.0,1.0,5.0,0.3333333333333333,0.3333333333333333,5.0,1.0
MA Khote,109.09090909090908,8.0,3.0,24.0,1.0,2.0,2.0,8.0,1.0,0.0,0.0,0.0,0.0,2.0,52.0,10.4,0.0,2.0,0.6666666666666666,0.3333333333333333,3.0,0.6666666666666666
ER Dwivedi,160.0,12.0,2.0,24.0,2.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0
PJ Sangwan,66.66666666666666,2.0,12.0,24.0,0.0,1.0,6.0,14.0,3.0,0.0,0.0,0.0,0.0,35.0,1181.0,8.46594982078853,0.0,38.0,0.08333333333333333,0.0,38.0,0.9210526315789473
NS Naik,69.6969696969697,11.5,2.0,23.0,0.0,1.0,2.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,2.0,0.0
J Arunkumar,95.83333333333334,7.666666666666667,3.0,23.0,0.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,0.0,3.0,0.0
SW Tait,88.46153846153845,4.6,5.0,23.0,1.0,1.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,23.0,668.0,7.50561797752809,0.0,21.0,0.2,0.2,21.0,1.0952380952380953
BMAJ Mendis,85.18518518518519,7.666666666666667,3.0,23.0,0.0,0.0,3.0,15.0,4.0,0.0,0.0,0.0,0.0,1.0,36.0,7.199999999999999,0.0,2.0,0.0,0.0,3.0,0.3333333333333333
MS Wade,66.66666666666666,7.333333333333333,3.0,22.0,0.0,0.0,3.0,14.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
GB Hogg,100.0,5.5,4.0,22.0,0.0,1.0,3.0,14.0,2.0,0.0,0.0,0.0,0.0,23.0,585.0,7.532188841201716,0.0,21.0,0.25,0.0,21.0,1.0952380952380953
CA Ingram,80.76923076923077,7.0,3.0,21.0,0.0,2.0,2.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,3.0,0.0
DE Bollinger,91.30434782608695,5.25,4.0,21.0,1.0,1.0,1.0,9.0,1.0,0.0,0.0,0.0,0.0,37.0,716.0,7.16,0.0,27.0,0.25,0.25,27.0,1.3703703703703705
M Muralitharan,66.66666666666666,2.2222222222222223,9.0,20.0,0.0,1.0,6.0,9.0,2.0,1.0,0.0,0.0,0.0,64.0,1765.0,6.698292220113853,0.0,66.0,0.1111111111111111,0.0,66.0,0.9696969696969697
AC Thomas,105.26315789473684,5.0,4.0,20.0,1.0,1.0,2.0,8.0,1.0,0.0,0.0,0.0,0.0,14.0,416.0,7.63302752293578,0.0,15.0,0.25,0.25,15.0,0.9333333333333333
Harpreet Singh,76.92307692307693,6.666666666666667,3.0,20.0,0.0,0.0,2.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Kuldeep Yadav,90.9090909090909,10.0,2.0,20.0,0.0,2.0,2.0,10.0,1.0,0.0,0.0,0.0,0.0,18.0,447.0,8.277777777777777,0.0,14.0,1.0,0.0,14.0,1.2857142857142858
NJ Maddinson,95.23809523809523,6.666666666666667,3.0,20.0,0.0,4.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,3.0,0.0
RR Raje,111.11111111111111,4.0,5.0,20.0,1.0,1.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,6.0,214.0,8.916666666666668,0.0,10.0,0.2,0.2,10.0,0.6
AD Nath,71.42857142857143,5.0,4.0,20.0,0.0,1.0,4.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,4.0,0.0
R Shukla,82.6086956521739,4.75,4.0,19.0,0.0,2.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,5.0,217.0,10.015384615384615,0.0,7.0,0.5,0.0,7.0,0.7142857142857143
A Mukund,82.6086956521739,9.5,2.0,19.0,0.0,1.0,2.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,2.0,0.0
Y Gnaneswara Rao,105.55555555555556,19.0,1.0,19.0,0.0,3.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,1.0,3.0,0.0,1.0,0.0
Vishnu Vinod,73.07692307692307,6.333333333333333,3.0,19.0,1.0,1.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,3.0,0.0
