,Player,avg_score_utility,strike_rate_utility,sixes_utility,fours_score_utility,wickets_utility,total_wickets_utility,economy_utility,batting_utility,bowling_utility,player_type
40,SV Samson,5.875,2.120171673819742,0.0,0.2688172043010752,0.0,0.0,0.0,8.263988878120818,-360.0,Batsman
41,BJ Hodge,5.583333333333332,2.0711188204683433,0.0,0.3121693121693121,0.2698412698412698,0.32903225806451614,3.1888235294117644,7.966621465970988,-353.3184544140237,Batsman
42,SC Ganguly,6.283482142857143,1.0867269984917036,0.0,0.4821428571428574,0.17857142857142858,0.19354838709677422,3.1649999999999996,7.852351998491704,-352.6943202764977,Batsman
43,DJ Hussey,5.3770491803278695,2.003633060853768,0.0,0.15846994535519135,0.13114754098360654,0.15483870967741936,2.938049535603715,7.539152186536829,-353.1639463206029,Batsman
44,F du Plessis,7.8070652173913055,2.2080536912751683,0.0,0.463768115942029,0.0,0.0,1.47,10.478887024608502,-354.795,Batsman
45,SS Tiwary,4.7265625,1.742574257425742,0.0,0.15104166666666666,0.0,0.0,0.0,6.620178424092409,-356.0,Batsman
46,DJ Bravo,3.0925925925925934,2.114341085271318,0.0,0.08641975308641976,1.1844660194174756,2.361290322580645,3.1490047393364926,5.293353430950332,-345.9578583779981,Bowler
47,GJ Maxwell,5.629545454545454,3.878205128205127,0.24545454545454548,0.24848484848484845,0.2,0.21290322580645163,3.0079041916167664,10.001689976689976,-350.8687888738652,Batsman
48,KK Nair,5.9350000000000005,2.2325080731969864,0.0,0.5666666666666668,0.0,0.0,0.0,8.734174739863654,-355.0,Batsman
49,TM Dilshan,5.8975,1.506208213944604,0.0,0.6,0.1,0.09677419354838711,3.1438909090909086,8.003708213944604,-349.98900234604105,Batsman
50,IK Pathan,2.5091463414634143,1.8375634517766506,0.0,0.024390243902439046,0.7920792079207921,1.5483870967741937,3.2134074775201134,4.3711000371425035,-346.6691893266774,Bowler
51,Mandeep Singh,4.439655172413794,1.9275053304904048,0.0,0.43678160919540243,0.0,0.0,0.0,6.803942112099601,-354.0,Batsman
52,ML Hayden,10.22265625,2.5971394517282476,0.1875,0.9270833333333334,0.0,0.0,0.0,13.934379035061582,-353.0,Batsman
53,LMP Simmons,11.202586206896552,2.144646924829157,0.2586206896551724,0.9195402298850576,0.03448275862068965,0.01935483870967742,2.4499999999999997,14.52539405126594,-348.24424360400445,Batsman
54,LRPL Taylor,4.312499999999998,2.003541912632822,0.0,0.07407407407407411,0.0,0.0,2.5038461538461534,6.390115986706895,-347.24423076923074,Batsman
55,KP Pietersen,7.677083333333334,2.602902374670184,0.05555555555555558,0.5092592592592592,0.19444444444444445,0.13548387096774195,3.304,10.844800522818334,-344.5491075268817,Batsman
